foto 001	-43.3458573	-22.90021934	2500	-2.00	-3.00	135.8
foto 002	-43.33898394	-22.9060617	2500	-2.00	-2.00	132.5
foto 003	-43.3307359	-22.91327873	2500	0.00	1.00	133.4
foto 004	-43.32283153	-22.91980843	2500	-1.00	2.00	131.7
foto 005	-43.3166455	-22.92530712	2500	-3.00	1.00	133.8
foto 006	-43.30805379	-22.93252415	2500	0.00	-2.00	132.2
foto 007	-43.29946209	-22.93905385	2500	-2.00	-2.00	129.4
foto 008	-43.28983938	-22.94764556	2500	0.00	3.00	134.0
foto 009	-43.28262234	-22.95589359	2500	-1.00	3.00	141.0
foto 010	-43.27574898	-22.96001761	2500	0.00	-3.00	122.9
foto 011	-43.26818828	-22.96414163	2500	-2.00	-2.00	120.5
foto 012	-43.26028391	-22.96482897	2500	-1.00	0.00	95.4
foto 013	-43.25100486	-22.96517264	2500	-3.00	-2.00	92.3
foto 014	-43.24447517	-22.9634543	2500	1.00	-3.00	74.1
foto 015	-43.23725813	-22.96104862	2500	-3.00	-2.00	70.2
foto 016	-43.22763542	-22.95761193	2500	-1.00	-2.00	68.9
foto 017	-43.21904372	-22.95761193	2500	-2.00	2.00	90.0
foto 018	-43.20907734	-22.96104862	2500	2.00	-2.00	110.4
foto 019	-43.2008293	-22.96964032	2500	-1.00	-3.00	138.4
foto 020	-43.19807995	-22.9796067	2500	3.00	1.00	165.7
foto 021	-43.19945463	-22.99197876	2500	-2.00	-1.00	185.9
foto 022	-43.20392231	-23.00160147	2500	2.00	0.00	203.3
foto 023	-43.21457603	-23.01088051	2500	0.00	0.00	226.7
foto 024	-43.22419874	-23.01809755	2500	3.00	-1.00	231.0
foto 025	-43.23622713	-23.02531458	2500	-3.00	0.00	237.0
